iter	Passed	Remaining
0	233	60423
1	456	58864
2	672	57586
3	889	56933
4	1107	56472
5	1332	56426
6	1549	56000
7	1765	55602
8	1980	55228
9	2194	54853
10	2411	54584
11	2629	54341
12	2845	54068
13	3061	53791
14	3276	53512
15	3491	53240
16	3705	52966
17	3918	52680
18	4134	52440
19	4359	52314
20	4576	52087
21	4791	51832
22	5007	51600
23	5225	51386
24	5441	51145
25	5658	50929
26	5876	50708
27	6090	50465
28	6308	50253
29	6526	50033
30	6747	49844
31	6967	49644
32	7186	49436
33	7404	49220
34	7622	49004
35	7836	48763
36	8052	48529
37	8268	48302
38	8485	48086
39	8700	47854
40	8920	47648
41	9137	47427
42	9352	47198
43	9566	46961
44	9784	46746
45	9999	46519
46	10213	46287
47	10430	46068
48	10643	45834
49	10861	45617
50	11074	45383
51	11289	45159
52	11506	44939
53	11722	44717
54	11942	44512
55	12158	44292
56	12373	44066
57	12593	43858
58	12809	43638
59	13025	43418
60	13242	43202
61	13517	43167
62	13744	42980
63	13973	42792
64	14196	42589
65	14417	42379
66	14639	42169
67	14854	41943
68	15076	41733
69	15291	41504
70	15512	41293
71	15729	41071
72	15947	40851
73	16163	40626
74	16379	40403
75	16596	40181
76	16814	39962
77	17033	39744
78	17253	39530
79	17471	39309
80	17690	39093
81	17909	38876
82	18124	38651
83	18341	38429
84	18560	38212
85	18778	37994
86	18997	37775
87	19213	37552
88	19428	37329
89	19645	37108
90	19865	36892
91	20082	36672
92	20298	36450
93	20519	36236
94	20736	36015
95	20951	35792
96	21167	35570
97	21382	35347
98	21597	35123
99	21815	34905
100	22035	34689
101	22251	34468
102	22465	34243
103	22685	34028
104	22899	33804
105	23113	33580
106	23328	33357
107	23546	33139
108	23765	32922
109	23980	32700
110	24194	32477
111	24407	32253
112	24626	32036
113	24839	31812
114	25056	31593
115	25281	31384
116	25497	31164
117	25714	30944
118	25929	30723
119	26143	30501
120	26360	30282
121	26574	30059
122	26790	29839
123	27004	29617
124	27223	29401
125	27440	29182
126	27653	28960
127	27871	28742
128	28095	28531
129	28312	28312
130	28530	28094
131	28750	27879
132	28969	27662
133	29189	27446
134	29408	27229
135	29623	27009
136	29842	26792
137	30057	26572
138	30273	26352
139	30492	26136
140	30710	25918
141	30931	25703
142	31151	25487
143	31367	25268
144	31584	25049
145	31801	24830
146	32017	24612
147	32236	24395
148	32459	24181
149	32676	23962
150	32893	23744
151	33111	23526
152	33333	23311
153	33551	23094
154	33769	22876
155	33989	22659
156	34206	22441
157	34421	22221
158	34636	22002
159	34851	21782
160	35066	21562
161	35285	21345
162	35503	21127
163	35719	20908
164	35937	20691
165	36158	20475
166	36376	20257
167	36592	20038
168	36807	19819
169	37027	19602
170	37244	19384
171	37458	19164
172	37674	18946
173	37893	18728
174	38111	18511
175	38326	18292
176	38546	18075
177	38771	17860
178	38988	17642
179	39209	17426
180	39424	17207
181	39645	16990
182	39863	16773
183	40078	16554
184	40295	16336
185	40513	16118
186	40731	15900
187	40952	15683
188	41172	15466
189	41389	15248
190	41605	15030
191	41826	14813
192	42043	14595
193	42259	14376
194	42477	14159
195	42693	13940
196	42912	13723
197	43131	13505
198	43351	13288
199	43568	13070
200	43786	12852
201	44009	12636
202	44229	12419
203	44259	12149
204	44474	11932
205	44691	11715
206	44910	11498
207	45130	11282
208	45353	11067
209	45567	10849
210	45784	10632
211	46005	10416
212	46225	10199
213	46443	9983
214	46658	9765
215	46879	9549
216	47100	9333
217	47321	9117
218	47537	8899
219	47756	8683
220	47973	8465
221	48194	8249
222	48414	8032
223	48634	7816
224	48853	7599
225	49072	7382
226	49296	7166
227	49515	6949
228	49732	6732
229	49951	6515
230	50168	6298
231	50198	6058
232	50421	5842
233	50640	5626
234	50858	5410
235	51076	5194
236	51293	4977
237	51507	4761
238	51727	4545
239	51943	4328
240	52162	4112
241	52385	3896
242	52606	3680
243	52823	3463
244	53041	3247
245	53261	3031
246	53484	2814
247	53700	2598
248	53919	2381
249	54137	2165
250	54372	1949
251	54640	1734
252	54865	1518
253	55089	1301
254	55312	1084
255	55537	867
256	55766	650
257	55995	434
258	56215	217
259	56445	0
