geoid,tactile_paving,wheelchair,ramp_kerb,traffic_signals_sound,Video_ID,Sign_Label,Bounding_Box_Coords,Landmark_Keypoints,HTML_Snippet,WCAG_Violation
node_24277,no,no,flush,yes,vid_0001,hospital,"[0.52, 0.24, 0.29, 0.4]","[[0.803, 0.545, 0.027], [0.423, 0.483, -0.007], [0.639, 0.383, -0.06]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_66687,no,yes,no,no,vid_0002,train,"[0.54, 0.36, 0.32, 0.42]","[[0.348, 0.178, -0.073], [0.354, 0.543, 0.079], [0.445, 0.11, 0.044]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_53949,no,yes,yes,no,vid_0003,no,"[0.45, 0.21, 0.28, 0.47]","[[0.319, 0.709, 0.08], [0.16, 0.01, -0.068], [0.947, 0.885, -0.072]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_21679,no,no,yes,no,vid_0004,bus,"[0.24, 0.33, 0.18, 0.32]","[[0.837, 0.135, -0.09], [0.879, 0.514, -0.009], [0.032, 0.082, -0.042]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_83564,yes,no,flush,no,vid_0005,stop,"[0.41, 0.21, 0.29, 0.44]","[[0.634, 0.711, -0.003], [0.309, 0.412, 0.048], [0.539, 0.958, -0.053]]",<img src='map.png'>,Missing_Alt_Text
node_21326,yes,yes,yes,no,vid_0006,stop,"[0.34, 0.4, 0.38, 0.25]","[[0.849, 0.578, 0.041], [0.375, 0.14, 0.09], [0.318, 0.899, 0.069]]",<button>Submit</button>,None
node_37405,incorrect,no,flush,no,vid_0007,hello,"[0.36, 0.34, 0.34, 0.33]","[[0.339, 0.601, -0.014], [0.022, 0.782, -0.021], [0.486, 0.067, -0.003]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_45503,incorrect,limited,no,yes,vid_0008,stop,"[0.27, 0.49, 0.15, 0.43]","[[0.125, 0.818, -0.09], [0.597, 0.592, -0.034], [0.362, 0.551, -0.027]]",<img src='map.png'>,Missing_Alt_Text
node_53814,no,no,flush,yes,vid_0009,bus,"[0.3, 0.4, 0.17, 0.24]","[[0.912, 0.471, 0.052], [0.173, 0.82, -0.094], [0.343, 0.882, -0.031]]",<button>Submit</button>,None
node_88940,incorrect,no,yes,yes,vid_0010,hello,"[0.28, 0.36, 0.16, 0.45]","[[0.094, 0.675, 0.088], [0.842, 0.739, 0.008], [0.496, 0.359, -0.081]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_88383,no,no,lowered,no,vid_0011,yes,"[0.45, 0.45, 0.34, 0.38]","[[0.609, 0.664, -0.083], [0.725, 0.074, 0.011], [0.258, 0.821, 0.07]]",<img src='logo.svg' alt='Company Logo'>,None
node_13443,no,limited,no,no,vid_0012,help,"[0.59, 0.24, 0.4, 0.35]","[[0.419, 0.645, -0.018], [0.541, 0.095, -0.047], [0.168, 0.956, -0.038]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_40382,no,yes,yes,no,vid_0013,hello,"[0.11, 0.42, 0.23, 0.48]","[[0.812, 0.971, 0.058], [0.861, 0.146, 0.098], [0.65, 0.41, 0.091]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_78081,yes,no,no,no,vid_0014,hello,"[0.23, 0.45, 0.17, 0.27]","[[0.245, 0.534, 0.062], [0.882, 0.505, -0.041], [0.016, 0.631, -0.078]]",<img src='logo.svg' alt='Company Logo'>,None
node_60417,no,limited,flush,no,vid_0015,train,"[0.53, 0.2, 0.15, 0.33]","[[0.541, 0.341, 0.016], [0.755, 0.137, -0.087], [0.485, 0.907, -0.037]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
